,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
1397,Mad Square,"Mad Square (stylized as MAD²) is a 2025 Indian Telugu-language action comedy film written and directed by Kalyan Shankar and produced by Naga Vamsi. A sequel to the 2023 film Mad, the film has an ensemble cast of  Narne Nithiin, Sangeeth Sobhan, Ram Nitin, Priyanka Jawalkar and Vishnu Oi.[1]",Kalyan Shankar,Kalyan Shankar,Naga Vamsi,"Narne Nithiin, Sangeeth Sobhan, Ram Nitin, Priyanka Jawalkar, Vishnu Oi",Shamdat,Naveen Nooli,28 March 2025,India,Telugu
1398,Madam Sengupta,Madam Sengupta is a 2025 Indian Bengali-language neo-noir action thriller film[1] directed by Sayantan Ghosal.[2][3] The film was released on 4 July 2025 under the banner of Nandy Movie Productions.[4],Sayantan Ghosal,,Pradip Kumar Nandy,"Rituparna Sengupta, Rahul Bose, Kaushik Sen, Subrat Dutta, Paran Bandopadhyay",Tuban,Subhajit Singha,4 July 2025,India,Bengali
1399,Maddie's Secret,"Maddie's Secret is a 2025 American comedy film written, directed, and produced by John Early in his directorial debut. It stars Early, Kate Berlant, Eric Rahill, Kristen Johnston, Claudia O'Doherty, Conner O'Malley, Vanessa Bayer, and Chris Bauer.",John Early,John Early,"Harris Mayersohn, Luca Intili, John Early","John Early, Kate Berlant, Eric Rahill, Kristen Johnston, Claudia O'Doherty, Conner O'Malley, Vanessa Bayer, Chris Bauer",Max Lakner,Danny Scharar,"September 4, 2025(TIFF)",United States,English
1400,Madea's Destination Wedding,"Madea's Destination Wedding is a 2025 American comedy film produced, written, and directed by Tyler Perry and his seventh film to be released by Netflix. It was released on July 11, 2025. Perry reprises his role as Mabel ""Madea"" Simmons, Joe Simmons, and Brian Simmons while the rest of the principal cast consists of Cassi Davis Patton, David Mann, Tamela Mann, Taja V. Simpson, Diamond White, Jermaine Harris, and Xavier Smalls. The film tells the story of Madea and her extended family going to the Bahamas for a destination wedding when Brian Simmons' daughter Tiffany proposes to a man named Zavier. It is the thirteenth film in the Madea cinematic universe. The film received negative reviews according to Rotten Tomatoes.",Tyler Perry,Tyler Perry,"Tyler Perry, Yolanda T. Cochran, Angi Bones","Tyler Perry, Cassi Davis Patton, David Mann, Tamela Mann, Taja V. Simpson, Diamond White, Jermaine Harris, Xavier Smalls",Michael Watson,Larry Sexton,"July 11, 2025",United States,English
1401,Madha Gaja Raja,"Madha Gaja Raja (/məðəˈɡədʒəˈrɑːdʒɑː/ transl. King of Musth Elephants)[a] is a 2025 Indian Tamil-language action comedy film written and directed by Sundar C and produced by Gemini Film Circuit and Benzz Media. The film stars Vishal in the titular role, alongside Santhanam, Anjali, Varalaxmi Sarathkumar, Sonu Sood, Manivannan, Subbaraju, Nithin Sathya, Sadagoppan Ramesh, Munna Simon and John Kokken.",Sundar C,,"Akkineni Manohar Prasad, Akkineni Anand Prasad, A. C. Shanmugam, A. C. S. Arun Kumar","Vishal, Santhanam, Anjali, Varalaxmi Sarathkumar",Richard M. Nathan,"Praveen K. L., N. B. Srikanth",12 January 2025,India,Tamil
1402,Madharaasi,"Madharaasi (transl. Man from Madras)[a] is a 2025 Indian Tamil-language psychological action thriller film written and directed by A. R. Murugadoss. Produced by Sri Lakshmi Movies, the film stars Sivakarthikeyan, Vidyut Jammwal, Biju Menon, Vikranth, Rukmini Vasanth and Shabeer Kallarakkal in the lead roles. In the film, a fregoli delusion patient becomes involved in an operation to stop a North Indian syndicate from distributing guns across Tamil Nadu.",A. R. Murugadoss,A. R. Murugadoss,N. Srilakshmi Prasad,"Sivakarthikeyan, Vidyut Jammwal, Biju Menon, Vikranth, Rukmini Vasanth, Shabeer Kallarakkal",Sudeep Elamon,A. Sreekar Prasad,5 September 2025,India,Tamil
1403,Madharas Mafia Company,Madharas Mafia Company is a 2025 Indian Tamil-language gangster film directed by A. S. Mukundan in his directorial debut. The film has story written and produced by V. Suganthi Annadurai under her Anna Productions banner.[1] The film stars Anandaraj and Samyuktha Shanmuganathan in the lead roles.[2],A. S. Mukundan,A. S. Mukundan,V. Suganthi Annadurai,"Anandaraj, Samyuktha Shanmuganathan, Munishkanth",Ashokraj,S. Devaraj,14 November 2025,India,Tamil
1404,Madly,"Madly (Italian: Follemente, graphically rendered as FolleMente) is a 2025 Italian romantic comedy film directed by Paolo Genovese. It was a box-office success, grossing €17 million in the domestic market, becoming the second highest-grossing film in Italy in 2025.",Paolo Genovese,,"Carlotta Galleni, Raffaella Leone, Andrea Leone","Pilar Fogliati, Edoardo Leo, Emanuela Fanelli, Maria Chiara Giannetta, Claudia Pandolfi, Vittoria Puccini, Marco Giallini, Maurizio Lastrico, Rocco Papaleo, Claudio Santamaria",Fabrizio Lucci,Consuelo Catucci,20 February 2025,Italy,Italian
1405,Madras Matinee,"Madras Matinee is a 2025 Indian Tamil-language family drama film written, co-produced and directed by debutant director Karthikeyan Mani and produced under the banner Madras Motion Pictures. The film features Kaali Venkat, Roshini Haripriyan, Shelly Kishore, Vishva and 
Sathyaraj in the lead roles, alongside George Maryan, Chaams, Sunil Sukhada, and Archana Chandhoke in pivotal roles.[1]",Karthikeyan Mani,Karthikeyan Mani,"Karthikeyan Mani, Dev Ananth","Kaali Venkat, Roshini Haripriyan, Shelly Kishore, Vishva, Sathyaraj",Anand G K,Satheesh Kumar Samuski,6 June 2025,India,Tamil
1406,Madraskaaran,"Madraskaaran (transl. Man from Madras) is a 2025 Indian Tamil-language action film directed by Vaali Mohan Das and produced by B.Jagadish under the banner of SR Productions.[2] The film stars Shane Nigam, Kalaiyarasan, Niharika Konidela and Aishwarya Dutta.[3]",Vaali Mohan Das,Vaali Mohan Das,B. Jagadish,"Shane Nigam, Kalaiyarasan, Niharika Konidela, Aishwarya Dutta",Prasanna S. Kumar,R. Vasanthakumar,10 January 2025,India,Tamil
1407,Madurai 16,"Madurai 16 is a 2025 Indian Tamil-language political revenge thriller film directed by John Thomas and produced by Sridevi Chinnaiah under the banner JS Films. The story was written by Jean Williams and John Thomas. The film stars Jerome Vijay, Rishi Misty, and Vimal in the lead roles, with Dhuruvan, Madurai Prasanna, Nivedha Dinesh, and P. Prassana in supporting roles. Distributed by Uthraa Productions, the film was released on 12 September 2025.",John Thomas,"Jean Williams, John Thomas",Sridevi Chinnaiah,"Jerome Vijay, Rishi Misty, Vima",Rizwan Khan,A. Ashwin,12 September 2025,India,Tamil
1408,Magellan,"Magellan (Portuguese: Magalhães) is a 2025 epic historical drama film written and directed by Lav Diaz. It is his first film in a language other than Tagalog.[7] The film stars Gael García Bernal as Portuguese explorer Ferdinand Magellan, and depicts Magellan's role in early-16th-century Portuguese and Spanish colonial campaigns in Southeast Asia.[8]",Lav Diaz,Lav Diaz,"Joaquim Sapinho, Albert Serra, Marta Vieira Alves, Montse Triola, Paul Soriano","Gael García Bernal, Ronnie Lazaro, Ângela Azevedo, Amado Arjay Babon, Bong Cabrera, Hazel Orencio","Lav Diaz, Artur Tort","Lav Diaz, Artur Tort",18 May 2025(Cannes),"Portugal, Spain, Philippines, France, Taiwan","Portuguese, Spanish, Cebuano, [, a, ], French"
1409,Magic Farm,"Magic Farm is a 2025 absurdist comedy film written and directed by Amalia Ulman and starring Chloë Sevigny, Alex Wolff, Guillermo Jacubowicz, Joe Apollonio, Valeria Lois, Camila del Campo and Simon Rex.",Amalia Ulman,,"Alex Hughes, Eugene Kotlyarenko, Riccardo Maddalosso","Chloë Sevigny, Alex Wolff, Guillermo Jacubowicz, Joe Apollonio, Valeria Lois, Camila del Campo, Simon Rex",Carlos Rigo Belliver,Arturo Sosa,"January 28, 2025(Sundance)","Argentina, United States","English, Spanish"
1410,Magic Hour,"It had its world premiere at South by Southwest on March 7, 2025.",Katie Aselton,"Katie Aselton, Mark Duplass",Emily Neumann,"Katie Aselton, Daveed Diggs, Brad Garrett, Susan Sullivan",Sarah Wheldon,"Stephanie Kaznocha, Kyle Boston","March 7, 2025(SXSW)",United States,English
1411,"Magkapatid, Dreamers in Tandem","Magkapatid, Dreamers in Tandem (lit. 'Siblings, Dreamers in Tandem') is a Philippine drama film directed by Jonathan S. Oraño from a screenplay by Lawrence Nicodemus.[1] It stars 2024 FAMAS Best Child Actress Elia Ilano,[2] 2014 FAMAS Best Child Performer, Adrian Cabido,[3] Marnie Lapus and Dennah Bautista. The film is the first full-length movie of JPhlix Films.[4]",Jonathan S. Oraño,,Engr. Jerome Lisay,"Elia Ilano, Adrian Cabido, Marnie Lapus, Dennah Bautista",Nelson Villamayor,Nelson Villamayor,"July 23, 2025",Philippines,Filipino
1412,A Magnificent Life,"It follows the life of 60-year-old Marcel Pagnol, an acclaimed playwright, novelist and filmmaker, who is visited by a vision of his childhood self.",Sylvain Chomet,Sylvain Chomet,"Eric Goossens, Ashargin Poiré, Valérie Puech, Aton Soumache","Laurent Lafitte, Géraldine Pailhas",Elric Lefeuvre,,"May 17, 2025(Cannes)","France, Belgium, United States, Luxembourg","French, English, [, 3, ]"
1413,Maharani,"Maharani [1] is a 2025 Gujarati family drama, directed by Viral Shah.[2] Starring Manasi Parekh,[3] Shraddha Dangar[4] Ojas Rawal, Sanjay Goradia and others. The film is a remake of the 2024 Marathi film Nach Ga Ghuma.[5]",Viral Shah,"Raam Mori, Hardik Sangani","Kumar Mangat Pathak, Abhishek Pathak, Pritesh Thakkar, Madhu Sharma, Viral Shah, Murlidhar Chhatwani (Co Producer), Chandresh Bhanushali (Co Producer), Suchin Ahluwalia (Co Producer), Masumeh Makhija, (Co Producer)","Manasi Parekh, Shraddha Dangar, Ojas Rawal, Sanjay Goradia",Dhawalika Singh,Viral Vajani,1 August 2025,India,Gujarati
1414,Mahasenha,"Mahasenha also marketed as Mahasenha Volume - 1 is a 2025 Indian Tamil-language action thriller film written and directed by Dhinesh Kalaiselvan starring Vimal, Srushti Dange and Kabir Duhan Singh in the lead roles. The film is produced by Dhinesh Kalaiselvan under his Marudham Productions banner.",Dhinesh Kalaiselvan,Dhinesh Kalaiselvan,,"Vimal, Yogi Babu, Srushti Dange, Kabir Duhan Singh",Manas Babhu D. R.,Nagooran Ramachandran,12 December 2025,India,Tamil
1415,Main Actor Nahin Hoon,Main Actor Nahin Hoon (transl. I'm Not an Actor) is a 2025 Indian Hindi-language drama film written and directed by Aditya Kripalani. The film stars Nawazuddin Siddiqui and Chitrangada Satarupa.[4][5],Aditya Kripalani,Aditya Kripalani,"Sweta Chhabria Kripalani, Aditya Kripalani, Faizuddin Siddiqui","Nawazuddin Siddiqui, Chitrangada Satarupa","Rishika Baruah, Sumit Singh, Ajinkya Pandit",Hrishikesh Petwe,16 March 2025(U.S.)1,India,Hindi
1416,Maine Pyar Kiya,Maine Pyar Kiya (transl. I've fallen in love) is a 2025 Indian Malayalam-language romantic comedy action thriller film written and directed by Faizal Faziludeen. It is co-written by Blk Fzl. The film stars Hridhu Haroon and Preity Mukhundhan in the lead roles. It is produced by Sanju Unnithan under the banner Spire Productions.[1] Don Paul P. handled the cinematography and Kannan Mohan editd the film.[2] Electronic Kili composed the songs and Mihraj Khalid and Vijay Anand composed the background score. The film was released on 29 August 2025.[3],Faizal Faziludeen,"Faizal Faziludeen, Blk Fzl",Sanju Unnithan,"Hridhu Haroon, Preity Mukhundhan",Don Paul P.,Kannan Mohan,29 August 2025,India,Malayalam
1417,Maintenance Required,"Maintenance Required is a 2025 romantic comedy film directed and written by Lacey Uhlemeyer. The film follows Charlie, who while reevaluating her all-female mechanic shop, confides with Beau, an online confidant, who is actually a real-life business rival.",Lacey Uhlemeyer,"Lacey Uhlemeyer, Roo Berry, Erin Falconer","Matt Luber, Lena Roklin, Matt Williams","Madelaine Petsch, Jacob Scipio, Madison Bailey, Katy O'Brian, Inanna Sarkis, Matteo Lane, Jim Gaffigan",Hamish Doyne-Ditmas,Bruce Green,"October 8, 2025","United States, United Kingdom, [, 1, ]",English
1418,Majhail,"Majhail is a Punjabi-language action film directed by Dheeraj Kedarnath Rattan.[1][2][3] The film is written by Dheeraj Kedarnath Rattan and Manila Rattan.[4] It stars Dev Kharoud and Roopi Gill in lead roles and Guggu Gill, Dheeraj Kumar, Vadda Grewal, and Hobby Dhaliwal in supporting roles.[5][6] The film released in theatres on 31 January 2025.[7]",Dheeraj Kedarnath Rattan,Dheeraj Kedarnath Rattan and Manila Rattan,KV Dhillon,"Dev Kharoud, Roopi Gill, Guggu Gill, Kul Sidhu",,,31 January 2025,India,Punjabi
1419,Makemation,"Makemation is a 2025 Nigerian AI-tech themed family film produced by Toyosi Akerele-Ogunsiji[1] The film was theatrically released on 18 April 2025. It stars Richard Mofe-Damijo, Shaffy Bello, Tomi Ojo, Yvonne Jegede, Tony Umez and Jide Kosoko.[2] The film is Toyosi Akerele-Ogunsiji's debut production and is described as the first feature film on artificial intelligence in Nigeria[3][4] that tells the story of a brilliant young girl in rural Lagos, Nigeria, who uses her tech knowledge to navigate the challenges she and her family face in the world.[5][6]",Michael Akinrogunde,"Toyosi Akerele-Ogunsiji, Nengi Diri",Toyosi Akerele-Ogunsiji,"Jide Kosoko, Shaffy Bello, Ibrahim Chatta, Tomi Ojo",,,18 April 2025,Nigeria,
1420,El mal,"El mal is a 2025 Spanish thriller film written and directed by Juanma Bajo Ulloa. It stars Belén Fabra, Natalia Tena, and Tony Dalton.",Juanma Bajo Ulloa,,,"Belén Fabra, Natalia Tena, Tony Dalton, Maria Schwinning, Fernando Gil, Natalia Ruiz, Aritz Kortabarria",Diego Trenas,Álvaro Herrero,November 2025(Mar del Plata),Spain,Spanish
1421,Man Finds Tape,Man Finds Tape is a 2025 American horror mockumentary film written and directed by Paul Gandersman and Peter Hall. Justin Benson and Aaron Moorhead serve as two of its producers.,"Paul Gandersman, Peter Hall","Paul Gandersman, Peter Hall",,"Kelsey Pribilski, William Magnuson, John Gholson",,,"December 5, 2025",United States,English
1422,The Man in My Basement,"The Man in My Basement is a 2025 thriller film directed by Nadia Latif (in her feature directorial debut) and written by Latif and Walter Mosley, based on Mosley's 2004 novel. It stars Corey Hawkins, Willem Dafoe, Anna Diop and Tamara Lawrance.",Nadia Latif,"Walter Mosley, Nadia Latif","Diane Houslin, John Giwa-Amu, Dave Bishop, Len Rowles","Corey Hawkins, Willem Dafoe, Anna Diop, Tamara Lawrance",Ula Pontikos,Mark Towns,"September 5, 2025(TIFF)","United States, United Kingdom",English
1423,Man on the Run,Man on the Run is a 2025 documentary film directed by Morgan Neville[3][4] about the life of Paul McCartney from his formation of Wings through the 1970s. McCartney is credited as an executive producer.[3],Morgan Neville,,"Morgan Neville, Chloe Simmons, Meghan Walsh, Scott Rodger, Ben Chappell, Michele Anthony, David Blackman",,,Alan Lowe,30 August 2025(TFF),"United Kingdom, United States",English
1424,Manada Kadalu,"Manada Kadalu is a 2025 Indian Kannada-language romantic drama film co-written and directed by Yogaraj Bhat,[1] and produced by E. Krishnappa. The film marks the reunion of the director-producer duo after 18 years of their successful film, Mungaru Male (2006).[2] The film stars Sumukha, Rashika Shetty[3] and Anjali Anish[4] in lead roles, along with Rangayana Raghu and Dattanna in key supporting roles.",Yogaraj Bhat,"Yogaraj Bhat, Gadda Viji, Amol Patil",E. Krishnappa,"Sumukha, Rashika Shetty, Rangayana Raghu, Dattanna, Anjali Anish",Santhosh Rai Pathaje,K. M. Prakash,28 March 2025,India,Kannada
1425,Mangla,"Mangla is a 2025 Indian Marathi-language biographical drama film based on the life of acid attack survivor Dr. Mangala Kapoor.[1] Directed and co-produced by Aparana Hosing, the film is also produced by Yashna Murli, Mohan Poojary, and Milind Phodkar under the banners of Rash Production Pvt. Ltd. and Fakt Ani Fakt Entertainment.[2][3] The film features Shivali Parab in the lead role, portraying a character inspired by Kapoor, alongside Shashank Shende and Alka Kubal.[4] The film delves into the remarkable journey of an acid attack survivor who overcame adversity, shedding light on her struggles during a time when no laws existed to address acid attacks.[5]",Aparana Hosing,"Story and Screenplay:, Saurabh Choudhary, Dialogue:, Prathmesh Shivalkar","Aparana Hosing, Yashna Murli, Mohan Poojary, Milind Phodkar","Shivali Parab, Shashank Shende, Alka Kubal",Arun Varma,Rahul Bhatankar,17 January 2025,India,Marathi
